origen,destino,year,num_migrantes
Southern Europe,Least developed countries,2000,15484
Western Europe,Least developed countries,2000,47556
Caribbean,Least developed countries,2000,4841
Central America,Least developed countries,2000,521
South America,Least developed countries,2000,15632
NORTHERN AMERICA,Least developed countries,2000,44812
OCEANIA,Least developed countries,2000,6722
Eastern Africa,Land-locked Developing Countries (LLDC),2000,1471956
Middle Africa,Land-locked Developing Countries (LLDC),2000,692962
Northern Africa,Land-locked Developing Countries (LLDC),2000,423148
Southern Africa,Land-locked Developing Countries (LLDC),2000,62788
Western Africa,Land-locked Developing Countries (LLDC),2000,743974
Central Asia,Land-locked Developing Countries (LLDC),2000,503553
Eastern Asia,Land-locked Developing Countries (LLDC),2000,113380
South-Eastern Asia,Land-locked Developing Countries (LLDC),2000,15175
Southern Asia,Land-locked Developing Countries (LLDC),2000,763783
Western Asia,Land-locked Developing Countries (LLDC),2000,1001877
Eastern Europe,Land-locked Developing Countries (LLDC),2000,4499220
Northern Europe,Land-locked Developing Countries (LLDC),2000,44125
Southern Europe,Land-locked Developing Countries (LLDC),2000,110840
Western Europe,Land-locked Developing Countries (LLDC),2000,45557
Caribbean,Land-locked Developing Countries (LLDC),2000,1013
Central America,Land-locked Developing Countries (LLDC),2000,12826
South America,Land-locked Developing Countries (LLDC),2000,217436
NORTHERN AMERICA,Land-locked Developing Countries (LLDC),2000,13950
OCEANIA,Land-locked Developing Countries (LLDC),2000,679
Eastern Africa,Small island developing States (SIDS),2000,17084
Middle Africa,Small island developing States (SIDS),2000,7621
Northern Africa,Small island developing States (SIDS),2000,34367
Southern Africa,Small island developing States (SIDS),2000,1218
Western Africa,Small island developing States (SIDS),2000,23434
Central Asia,Small island developing States (SIDS),2000,4
Eastern Asia,Small island developing States (SIDS),2000,366477
South-Eastern Asia,Small island developing States (SIDS),2000,865025
Southern Asia,Small island developing States (SIDS),2000,319165
Western Asia,Small island developing States (SIDS),2000,25347
Eastern Europe,Small island developing States (SIDS),2000,5676
Northern Europe,Small island developing States (SIDS),2000,30988
Southern Europe,Small island developing States (SIDS),2000,37849
Western Europe,Small island developing States (SIDS),2000,167992
Caribbean,Small island developing States (SIDS),2000,546700
